,Random Forest (100),Extra-trees,Random Forest (50),MLP Classifier,SVM,Ridge Classifier,K-Nearest Neighbors,Dataset
0,0.7666666666666667,0.7568627450980392,0.7431372549019608,0.5490196078431373,0.5549019607843138,0.49411764705882355,0.4392156862745098,10 Points
1,0.7509803921568627,0.7470588235294118,0.7274509803921568,0.5470588235294118,0.5117647058823529,0.4647058823529412,0.3803921568627451,10 Points
2,0.7352941176470589,0.7431372549019608,0.7196078431372549,0.5137254901960784,0.4627450980392157,0.44313725490196076,0.40784313725490196,10 Points
3,0.7450980392156863,0.7470588235294118,0.7313725490196078,0.5274509803921569,0.49019607843137253,0.47058823529411764,0.37254901960784315,10 Points
4,0.7725490196078432,0.7607843137254902,0.7470588235294118,0.5568627450980392,0.5019607843137255,0.44313725490196076,0.36666666666666664,10 Points
5,0.692156862745098,0.6901960784313725,0.6901960784313725,0.5529411764705883,0.4392156862745098,0.38823529411764707,0.44901960784313727,3 Points
6,0.6862745098039216,0.6901960784313725,0.6745098039215687,0.5470588235294118,0.4549019607843137,0.3980392156862745,0.40980392156862744,3 Points
7,0.6607843137254902,0.6568627450980392,0.6509803921568628,0.48823529411764705,0.4235294117647059,0.40588235294117647,0.3764705882352941,3 Points
8,0.6823529411764706,0.6588235294117647,0.6450980392156863,0.5117647058823529,0.45294117647058824,0.3980392156862745,0.4235294117647059,3 Points
9,0.6686274509803921,0.6882352941176471,0.6627450980392157,0.47843137254901963,0.4019607843137255,0.3588235294117647,0.37254901960784315,3 Points
10,0.7941176470588235,0.8254901960784313,0.7784313725490196,0.692156862745098,0.44901960784313727,0.35490196078431374,0.5647058823529412,Average
11,0.7705882352941177,0.8137254901960784,0.7607843137254902,0.6803921568627451,0.4568627450980392,0.37058823529411766,0.5823529411764706,Average
12,0.7803921568627451,0.8176470588235294,0.7686274509803922,0.6745098039215687,0.43137254901960786,0.32745098039215687,0.596078431372549,Average
13,0.7803921568627451,0.8117647058823529,0.7509803921568627,0.6647058823529411,0.4549019607843137,0.38235294117647056,0.596078431372549,Average
14,0.796078431372549,0.8274509803921568,0.792156862745098,0.6862745098039216,0.4411764705882353,0.35490196078431374,0.5450980392156862,Average
